Employee #,Employee Name,Date,Log In,Log Out,Hourly Rate
10001,Garcia Manuel III,12/02/2024,08:45:00,16:43:00,535.71
10001,Garcia Manuel III,12/03/2024,08:07:00,18:51:00,535.71
10001,Garcia Manuel III,12/04/2024,10:49:00,18:57:00,535.71
10001,Garcia Manuel III,12/05/2024,09:12:00,16:52:00,535.71
10001,Garcia Manuel III,12/06/2024,10:37:00,20:43:00,535.71
10001,Garcia Manuel III,12/09/2024,08:40:00,18:16:00,535.71
10001,Garcia Manuel III,12/10/2024,09:36:00,16:39:00,535.71
10001,Garcia Manuel III,12/11/2024,10:12:00,17:24:00,535.71
10001,Garcia Manuel III,12/12/2024,09:07:00,19:44:00,535.71
10001,Garcia Manuel III,12/13/2024,10:33:00,19:51:00,535.71
10001,Garcia Manuel III,12/16/2024,09:47:00,18:58:00,535.71
10001,Garcia Manuel III,12/17/2024,08:15:00,16:11:00,535.71
10001,Garcia Manuel III,12/18/2024,08:03:00,18:35:00,535.71
10001,Garcia Manuel III,12/19/2024,08:12:00,15:22:00,535.71
10001,Garcia Manuel III,12/20/2024,09:29:00,20:10:00,535.71
10001,Garcia Manuel III,12/23/2024,09:42:00,18:39:00,535.71
10001,Garcia Manuel III,12/24/2024,08:03:00,15:54:00,535.71
10001,Garcia Manuel III,12/25/2024,09:52:00,20:38:00,535.71
10001,Garcia Manuel III,12/26/2024,08:29:00,18:52:00,535.71
10001,Garcia Manuel III,12/27/2024,10:14:00,19:00:00,535.71
10001,Garcia Manuel III,12/30/2024,09:29:00,18:21:00,535.71
10001,Garcia Manuel III,12/31/2024,09:27:00,18:30:00,535.71
10002,Lim Antonio,06/03/2024,10:35:00,19:44:00,357.14
10002,Lim Antonio,06/04/2024,10:11:00,20:16:00,357.14
10002,Lim Antonio,06/05/2024,09:24:00,19:19:00,357.14
10002,Lim Antonio,06/06/2024,10:47:00,20:43:00,357.14
10002,Lim Antonio,06/07/2024,09:41:00,20:01:00,357.14
10002,Lim Antonio,06/10/2024,08:02:00,18:40:00,357.14
10002,Lim Antonio,06/11/2024,09:55:00,19:49:00,357.14
10002,Lim Antonio,06/12/2024,09:04:00,18:20:00,357.14
10002,Lim Antonio,06/13/2024,08:35:00,18:33:00,357.14
10002,Lim Antonio,06/14/2024,08:22:00,17:34:00,357.14
10002,Lim Antonio,06/17/2024,09:44:00,18:35:00,357.14
10002,Lim Antonio,06/18/2024,09:55:00,17:35:00,357.14
10002,Lim Antonio,06/19/2024,09:29:00,19:35:00,357.14
10002,Lim Antonio,06/20/2024,09:17:00,19:59:00,357.14
10002,Lim Antonio,06/21/2024,10:14:00,19:10:00,357.14
10002,Lim Antonio,06/24/2024,09:08:00,16:12:00,357.14
10002,Lim Antonio,06/25/2024,08:48:00,19:41:00,357.14
10002,Lim Antonio,06/26/2024,09:49:00,18:47:00,357.14
10002,Lim Antonio,06/27/2024,09:42:00,18:48:00,357.14
10002,Lim Antonio,06/28/2024,08:13:00,18:42:00,357.14
10002,Lim Antonio,07/01/2024,10:06:00,19:22:00,357.14
10002,Lim Antonio,07/02/2024,10:38:00,18:29:00,357.14
10002,Lim Antonio,07/03/2024,09:53:00,18:07:00,357.14
10002,Lim Antonio,07/04/2024,10:19:00,17:46:00,357.14
10002,Lim Antonio,07/05/2024,09:07:00,17:31:00,357.14
10002,Lim Antonio,07/08/2024,09:53:00,18:32:00,357.14
10002,Lim Antonio,07/09/2024,08:45:00,16:35:00,357.14
10002,Lim Antonio,07/10/2024,09:25:00,18:52:00,357.14
10002,Lim Antonio,07/11/2024,09:54:00,17:39:00,357.14
10002,Lim Antonio,07/12/2024,10:36:00,20:54:00,357.14
10002,Lim Antonio,07/15/2024,10:43:00,20:24:00,357.14
10002,Lim Antonio,07/16/2024,10:54:00,17:56:00,357.14
10002,Lim Antonio,07/17/2024,10:32:00,18:35:00,357.14
10002,Lim Antonio,07/18/2024,08:15:00,15:25:00,357.14
10002,Lim Antonio,07/19/2024,08:38:00,17:18:00,357.14
10002,Lim Antonio,07/22/2024,10:28:00,17:50:00,357.14
10002,Lim Antonio,07/23/2024,10:43:00,18:49:00,357.14
10002,Lim Antonio,07/24/2024,08:15:00,16:09:00,357.14
10002,Lim Antonio,07/25/2024,09:40:00,20:20:00,357.14
10002,Lim Antonio,07/26/2024,09:34:00,17:50:00,357.14
10002,Lim Antonio,07/29/2024,09:40:00,19:16:00,357.14
10002,Lim Antonio,07/30/2024,10:52:00,19:07:00,357.14
10002,Lim Antonio,07/31/2024,09:19:00,19:31:00,357.14
10002,Lim Antonio,08/01/2024,10:54:00,20:14:00,357.14
10002,Lim Antonio,08/02/2024,10:35:00,19:02:00,357.14
10002,Lim Antonio,08/05/2024,09:16:00,18:34:00,357.14
10002,Lim Antonio,08/06/2024,10:51:00,20:21:00,357.14
10002,Lim Antonio,08/07/2024,08:22:00,15:36:00,357.14
10002,Lim Antonio,08/08/2024,10:26:00,19:38:00,357.14
10002,Lim Antonio,08/09/2024,09:04:00,18:42:00,357.14
10002,Lim Antonio,08/12/2024,10:48:00,20:12:00,357.14
10002,Lim Antonio,08/13/2024,09:13:00,19:35:00,357.14
10002,Lim Antonio,08/14/2024,09:09:00,19:44:00,357.14
10002,Lim Antonio,08/15/2024,10:21:00,18:18:00,357.14
10002,Lim Antonio,08/16/2024,09:22:00,17:02:00,357.14
10002,Lim Antonio,08/19/2024,08:38:00,18:52:00,357.14
10002,Lim Antonio,08/20/2024,08:18:00,18:01:00,357.14
10002,Lim Antonio,08/21/2024,09:12:00,18:13:00,357.14
10002,Lim Antonio,08/22/2024,08:02:00,18:04:00,357.14
10002,Lim Antonio,08/23/2024,09:08:00,17:28:00,357.14
10002,Lim Antonio,08/26/2024,10:52:00,20:28:00,357.14
10002,Lim Antonio,08/27/2024,10:40:00,18:28:00,357.14
10002,Lim Antonio,08/28/2024,08:23:00,16:33:00,357.14
10002,Lim Antonio,08/29/2024,08:54:00,18:01:00,357.14
10002,Lim Antonio,08/30/2024,09:47:00,19:59:00,357.14
10002,Lim Antonio,09/02/2024,10:36:00,18:54:00,357.14
10002,Lim Antonio,09/03/2024,09:22:00,17:22:00,357.14
10002,Lim Antonio,09/04/2024,10:55:00,20:44:00,357.14
10002,Lim Antonio,09/05/2024,09:42:00,16:59:00,357.14
10002,Lim Antonio,09/06/2024,09:16:00,18:35:00,357.14
10002,Lim Antonio,09/09/2024,10:21:00,17:25:00,357.14
10002,Lim Antonio,09/10/2024,08:39:00,19:33:00,357.14
10002,Lim Antonio,09/11/2024,09:01:00,18:38:00,357.14
10002,Lim Antonio,09/12/2024,10:55:00,21:53:00,357.14
10002,Lim Antonio,09/13/2024,09:58:00,19:01:00,357.14
10002,Lim Antonio,09/16/2024,09:02:00,17:24:00,357.14
10002,Lim Antonio,09/17/2024,08:38:00,16:59:00,357.14
10002,Lim Antonio,09/18/2024,09:57:00,17:32:00,357.14
10002,Lim Antonio,09/19/2024,09:57:00,19:08:00,357.14
10002,Lim Antonio,09/20/2024,10:02:00,20:55:00,357.14
10002,Lim Antonio,09/23/2024,10:44:00,17:50:00,357.14
10002,Lim Antonio,09/24/2024,09:55:00,20:08:00,357.14
10002,Lim Antonio,09/25/2024,10:12:00,18:34:00,357.14
10002,Lim Antonio,09/26/2024,10:16:00,19:30:00,357.14
10002,Lim Antonio,09/27/2024,08:43:00,15:48:00,357.14
10002,Lim Antonio,09/30/2024,09:32:00,16:33:00,357.14
10002,Lim Antonio,10/01/2024,09:12:00,19:22:00,357.14
10002,Lim Antonio,10/02/2024,08:43:00,18:37:00,357.14
10002,Lim Antonio,10/03/2024,10:57:00,21:55:00,357.14
10002,Lim Antonio,10/04/2024,08:17:00,17:17:00,357.14
10002,Lim Antonio,10/07/2024,09:00:00,19:22:00,357.14
10002,Lim Antonio,10/08/2024,09:44:00,19:15:00,357.14
10002,Lim Antonio,10/09/2024,08:52:00,19:36:00,357.14
10002,Lim Antonio,10/10/2024,08:59:00,18:32:00,357.14
10002,Lim Antonio,10/11/2024,09:38:00,18:02:00,357.14
10002,Lim Antonio,10/14/2024,10:41:00,19:44:00,357.14
10002,Lim Antonio,10/15/2024,10:21:00,18:12:00,357.14
10002,Lim Antonio,10/16/2024,08:42:00,19:16:00,357.14
10002,Lim Antonio,10/17/2024,08:15:00,17:22:00,357.14
10002,Lim Antonio,10/18/2024,10:16:00,18:39:00,357.14
10002,Lim Antonio,10/21/2024,08:20:00,16:34:00,357.14
10002,Lim Antonio,10/22/2024,08:44:00,15:57:00,357.14
10002,Lim Antonio,10/23/2024,10:07:00,18:36:00,357.14
10002,Lim Antonio,10/24/2024,09:33:00,19:08:00,357.14
10002,Lim Antonio,10/25/2024,10:21:00,19:04:00,357.14
10002,Lim Antonio,10/28/2024,09:19:00,16:25:00,357.14
10002,Lim Antonio,10/29/2024,08:11:00,18:57:00,357.14
10002,Lim Antonio,10/30/2024,09:45:00,19:00:00,357.14
10002,Lim Antonio,10/31/2024,09:44:00,17:20:00,357.14
10002,Lim Antonio,11/01/2024,10:00:00,20:39:00,357.14
10002,Lim Antonio,11/04/2024,09:50:00,19:34:00,357.14
10002,Lim Antonio,11/05/2024,08:32:00,18:29:00,357.14
10002,Lim Antonio,11/06/2024,09:50:00,17:52:00,357.14
10002,Lim Antonio,11/07/2024,08:34:00,19:13:00,357.14
10002,Lim Antonio,11/08/2024,10:26:00,19:25:00,357.14
10002,Lim Antonio,11/11/2024,10:45:00,19:52:00,357.14
10002,Lim Antonio,11/12/2024,08:26:00,18:36:00,357.14
10002,Lim Antonio,11/13/2024,10:44:00,18:18:00,357.14
10002,Lim Antonio,11/14/2024,08:34:00,17:11:00,357.14
10002,Lim Antonio,11/15/2024,10:36:00,19:08:00,357.14
10002,Lim Antonio,11/18/2024,08:03:00,18:32:00,357.14
10002,Lim Antonio,11/19/2024,08:27:00,15:30:00,357.14
10002,Lim Antonio,11/20/2024,08:08:00,16:36:00,357.14
10002,Lim Antonio,11/21/2024,08:59:00,19:30:00,357.14
10002,Lim Antonio,11/22/2024,08:41:00,18:42:00,357.14
10002,Lim Antonio,11/25/2024,10:01:00,18:27:00,357.14
10002,Lim Antonio,11/26/2024,08:42:00,16:43:00,357.14
10002,Lim Antonio,11/27/2024,10:44:00,21:24:00,357.14
10002,Lim Antonio,11/28/2024,10:32:00,19:55:00,357.14
10002,Lim Antonio,11/29/2024,08:56:00,18:05:00,357.14
10002,Lim Antonio,12/02/2024,09:57:00,16:57:00,357.14
10002,Lim Antonio,12/03/2024,09:32:00,17:09:00,357.14
10002,Lim Antonio,12/04/2024,10:29:00,18:41:00,357.14
10002,Lim Antonio,12/05/2024,09:23:00,17:17:00,357.14
10002,Lim Antonio,12/06/2024,09:32:00,18:33:00,357.14
10002,Lim Antonio,12/09/2024,08:28:00,18:13:00,357.14
10002,Lim Antonio,12/10/2024,10:31:00,20:49:00,357.14
10002,Lim Antonio,12/11/2024,10:38:00,18:50:00,357.14
10002,Lim Antonio,12/12/2024,10:53:00,18:03:00,357.14
10002,Lim Antonio,12/13/2024,08:50:00,18:17:00,357.14
10002,Lim Antonio,12/16/2024,10:15:00,17:32:00,357.14
10002,Lim Antonio,12/17/2024,10:49:00,21:27:00,357.14
10002,Lim Antonio,12/18/2024,10:50:00,18:35:00,357.14
10002,Lim Antonio,12/19/2024,08:31:00,19:04:00,357.14
10002,Lim Antonio,12/20/2024,09:45:00,18:19:00,357.14
10002,Lim Antonio,12/23/2024,08:20:00,19:02:00,357.14
10002,Lim Antonio,12/24/2024,10:52:00,18:12:00,357.14
10002,Lim Antonio,12/25/2024,10:58:00,21:30:00,357.14
10002,Lim Antonio,12/26/2024,09:43:00,18:16:00,357.14
10002,Lim Antonio,12/27/2024,08:47:00,15:58:00,357.14
10002,Lim Antonio,12/30/2024,09:01:00,16:37:00,357.14
10002,Lim Antonio,12/31/2024,08:37:00,15:39:00,357.14
10003,Aquino Bianca Sofia,06/03/2024,10:23:00,18:32:00,357.14
10003,Aquino Bianca Sofia,06/04/2024,10:45:00,20:37:00,357.14
10003,Aquino Bianca Sofia,06/05/2024,09:18:00,18:46:00,357.14
10003,Aquino Bianca Sofia,06/06/2024,10:10:00,18:01:00,357.14
10003,Aquino Bianca Sofia,06/07/2024,10:22:00,20:15:00,357.14
10003,Aquino Bianca Sofia,06/10/2024,08:58:00,17:52:00,357.14
10003,Aquino Bianca Sofia,06/11/2024,09:35:00,17:06:00,357.14
10003,Aquino Bianca Sofia,06/12/2024,10:51:00,20:14:00,357.14
10003,Aquino Bianca Sofia,06/13/2024,08:53:00,19:06:00,357.14
10003,Aquino Bianca Sofia,06/14/2024,10:20:00,18:16:00,357.14
10003,Aquino Bianca Sofia,06/17/2024,10:46:00,20:54:00,357.14
10003,Aquino Bianca Sofia,06/18/2024,08:38:00,18:30:00,357.14
10003,Aquino Bianca Sofia,06/19/2024,10:53:00,19:46:00,357.14
10003,Aquino Bianca Sofia,06/20/2024,10:02:00,18:12:00,357.14
10003,Aquino Bianca Sofia,06/21/2024,09:03:00,18:01:00,357.14
10003,Aquino Bianca Sofia,06/24/2024,09:11:00,16:25:00,357.14
10003,Aquino Bianca Sofia,06/25/2024,10:59:00,19:33:00,357.14
10003,Aquino Bianca Sofia,06/26/2024,09:39:00,17:15:00,357.14
10003,Aquino Bianca Sofia,06/27/2024,10:41:00,18:27:00,357.14
10003,Aquino Bianca Sofia,06/28/2024,09:43:00,19:09:00,357.14
10003,Aquino Bianca Sofia,07/01/2024,09:03:00,20:00:00,357.14
10003,Aquino Bianca Sofia,07/02/2024,09:06:00,18:09:00,357.14
10003,Aquino Bianca Sofia,07/03/2024,08:34:00,16:27:00,357.14
10003,Aquino Bianca Sofia,07/04/2024,08:17:00,16:54:00,357.14
10003,Aquino Bianca Sofia,07/05/2024,10:18:00,18:10:00,357.14
10003,Aquino Bianca Sofia,07/08/2024,10:28:00,21:25:00,357.14
10003,Aquino Bianca Sofia,07/09/2024,09:14:00,20:12:00,357.14
10003,Aquino Bianca Sofia,07/10/2024,08:51:00,17:54:00,357.14
10003,Aquino Bianca Sofia,07/11/2024,08:54:00,17:41:00,357.14
10003,Aquino Bianca Sofia,07/12/2024,08:40:00,18:05:00,357.14
10003,Aquino Bianca Sofia,07/15/2024,09:47:00,20:24:00,357.14
10003,Aquino Bianca Sofia,07/16/2024,09:17:00,17:16:00,357.14
10003,Aquino Bianca Sofia,07/17/2024,08:38:00,15:44:00,357.14
10003,Aquino Bianca Sofia,07/18/2024,10:16:00,18:03:00,357.14
10003,Aquino Bianca Sofia,07/19/2024,08:04:00,15:32:00,357.14
10003,Aquino Bianca Sofia,07/22/2024,09:49:00,18:06:00,357.14
10003,Aquino Bianca Sofia,07/23/2024,09:37:00,19:35:00,357.14
10003,Aquino Bianca Sofia,07/24/2024,08:59:00,18:23:00,357.14
10003,Aquino Bianca Sofia,07/25/2024,09:44:00,19:49:00,357.14
10003,Aquino Bianca Sofia,07/26/2024,10:50:00,20:39:00,357.14
10003,Aquino Bianca Sofia,07/29/2024,09:38:00,19:46:00,357.14
10003,Aquino Bianca Sofia,07/30/2024,09:32:00,18:13:00,357.14
10003,Aquino Bianca Sofia,07/31/2024,08:39:00,18:59:00,357.14
10003,Aquino Bianca Sofia,08/01/2024,09:32:00,19:37:00,357.14
10003,Aquino Bianca Sofia,08/02/2024,10:51:00,21:25:00,357.14
10003,Aquino Bianca Sofia,08/05/2024,09:32:00,18:25:00,357.14
10003,Aquino Bianca Sofia,08/06/2024,10:30:00,19:38:00,357.14
10003,Aquino Bianca Sofia,08/07/2024,10:53:00,18:42:00,357.14
10003,Aquino Bianca Sofia,08/08/2024,10:44:00,20:30:00,357.14
10003,Aquino Bianca Sofia,08/09/2024,08:06:00,17:40:00,357.14
10003,Aquino Bianca Sofia,08/12/2024,09:59:00,18:18:00,357.14
10003,Aquino Bianca Sofia,08/13/2024,10:33:00,17:44:00,357.14
10003,Aquino Bianca Sofia,08/14/2024,08:29:00,17:22:00,357.14
10003,Aquino Bianca Sofia,08/15/2024,08:24:00,16:39:00,357.14
10003,Aquino Bianca Sofia,08/16/2024,08:32:00,18:03:00,357.14
10003,Aquino Bianca Sofia,08/19/2024,09:47:00,20:02:00,357.14
10003,Aquino Bianca Sofia,08/20/2024,09:10:00,17:30:00,357.14
10003,Aquino Bianca Sofia,08/21/2024,08:19:00,17:16:00,357.14
10003,Aquino Bianca Sofia,08/22/2024,09:28:00,16:46:00,357.14
10003,Aquino Bianca Sofia,08/23/2024,09:27:00,18:50:00,357.14
10003,Aquino Bianca Sofia,08/26/2024,08:53:00,18:58:00,357.14
10003,Aquino Bianca Sofia,08/27/2024,08:34:00,15:49:00,357.14
10003,Aquino Bianca Sofia,08/28/2024,09:50:00,19:36:00,357.14
10003,Aquino Bianca Sofia,08/29/2024,09:01:00,19:34:00,357.14
10003,Aquino Bianca Sofia,08/30/2024,09:51:00,19:41:00,357.14
10003,Aquino Bianca Sofia,09/02/2024,08:20:00,15:28:00,357.14
10003,Aquino Bianca Sofia,09/03/2024,10:48:00,21:27:00,357.14
10003,Aquino Bianca Sofia,09/04/2024,10:50:00,19:39:00,357.14
10003,Aquino Bianca Sofia,09/05/2024,08:01:00,15:24:00,357.14
10003,Aquino Bianca Sofia,09/06/2024,10:53:00,20:20:00,357.14
10003,Aquino Bianca Sofia,09/09/2024,08:14:00,19:04:00,357.14
10003,Aquino Bianca Sofia,09/10/2024,10:15:00,17:55:00,357.14
10003,Aquino Bianca Sofia,09/11/2024,09:57:00,17:42:00,357.14
10003,Aquino Bianca Sofia,09/12/2024,09:58:00,19:07:00,357.14
10003,Aquino Bianca Sofia,09/13/2024,09:21:00,19:39:00,357.14
10003,Aquino Bianca Sofia,09/16/2024,09:28:00,17:05:00,357.14
10003,Aquino Bianca Sofia,09/17/2024,09:50:00,19:10:00,357.14
10003,Aquino Bianca Sofia,09/18/2024,10:56:00,20:58:00,357.14
10003,Aquino Bianca Sofia,09/19/2024,08:24:00,15:50:00,357.14
10003,Aquino Bianca Sofia,09/20/2024,08:06:00,17:22:00,357.14
10003,Aquino Bianca Sofia,09/23/2024,09:58:00,18:04:00,357.14
10003,Aquino Bianca Sofia,09/24/2024,08:44:00,16:30:00,357.14
10003,Aquino Bianca Sofia,09/25/2024,10:30:00,17:48:00,357.14
10003,Aquino Bianca Sofia,09/26/2024,09:37:00,20:25:00,357.14
